;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM;
12789;70;.;.;SENT;;;;;;;;;SENT;.;SENT;
12790;;;;;;;;;;;;;;;;
12791;1;—астица;—Ђ‘’€–Ђ;S f inan nom sg;;;а;ц;и;т;с;а;S;—Ђ‘’€–Ђ;S f inan nom sg;
12792;2;подобна;ЏЋ„ЋЃЌ›‰;A - - sg brev f -;;;а;н;б;о;д;о;A;ЏЋ„ЋЃЌ›‰;A - - sg brev f -;
12793;3;волне;‚Ћ‹ЌЂ;S f inan dac sg;;;е;н;л;о;в;;S;‚Ћ‹ЌЂ;S f inan loc sg;
12794;4;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12795;5;у;“;PR;;;у;;;;;;PR;“;PR;
12796;6;неЮ;ЋЌЂ;SPRO sg 3p f gen;;;Ю;е;н;;;;SPRO;ЋЌЂ;SPRO sg 3p f acc;
12797;7;есть;Ѓ›’њ;V ipf praes sg indic - 3p;;;ь;т;с;е;;;V;Ѓ›’њ;V ipf praes sg indic - 3p;
12798;8;волноваЯ;‚Ћ‹ЌЋ‚Ћ‰;A - nom sg plen f -;;;Я;а;в;о;н;л;A;‚Ћ‹ЌЋ‚Ћ‰;A - nom sg plen f -;
12799;9;функциЯ;”“ЌЉ–€џ;S f inan nom sg;;;Я;и;ц;к;н;у;S;”“ЌЉ–€џ;S f inan nom sg;
12800;10;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12801;11;с;‘;PR;;;с;;;;;;PR;‘;PR;
12802;12;которой;ЉЋ’Ћђ›‰;APRO - ins sg f -;;;й;о;р;о;т;о;A;ЉЋ’Ћђ›‰;A - loc sg plen f -;
12803;13;можно;ЊЋ†ЌЋ;PRAEDIC;;;о;н;ж;о;м;;ADV;ЊЋ†ЌЋ;ADV -;
12804;14;посчитать;ЏЋ‘—€’Ђ’њ;V pf - - inf - -;;;ь;т;а;т;и;ч;V;ЏЋ‘—€’Ђ’њ;V pf - - inf - -;
12805;15;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12806;16;э;ќ;INTJ;distort;;э;;;;;;INTJ;ќ;INTJ;
12807;17;с;‘;PR;;;с;;;;;;PR;‘;PR;
12808;18;какой;ЉЂЉЋ‰;APRO - ins sg plen f -;;;й;о;к;а;к;;A;ЉЂЉЋ‰;A - ins sg plen f -;
12809;19;вероЯтностью;‚…ђЋџ’ЌЋ‘’њ;S f inan ins sg;;;ю;ь;т;с;о;н;S;‚…ђЋџ’ЌЋ‘’њ;S f inan ins sg;
12810;20;электрон;ќ‹…Љ’ђЋЌ;S m inan nom sg;;;н;о;р;т;к;е;S;ќ‹…Љ’ђЋЌ;S m inan nom sg;
12811;21;попадает;ЏЋЏЂ„Ђ’њ;V ipf praes sg indic - 3p;;;т;е;а;д;а;п;V;ЏЋЏЂ„Ђ’њ;V ipf praes sg indic - 3p;
12812;22;в;‚;PR;;;в;;;;;;PR;‚;PR;
12813;23;одно;Ћ„€Ќ;A - acc sg plen n inan;;;о;н;д;о;;;A;Ћ„€Ќ;A - acc sg plen n inan;
12814;24;место;Њ…‘’Ћ;S n inan acc sg;;;о;т;с;е;м;;S;Њ…‘’Ћ;S n inan acc sg;
12815;25;пространства;ЏђЋ‘’ђЂЌ‘’‚Ћ;S n inan gen sg;;;а;в;т;с;н;а;S;ЏђЋ‘’ђЂЌ‘’‚Ћ;S n inan gen sg;
12816;26;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12817;27;в;‚;PR;;;в;;;;;;PR;‚;PR;
12818;28;другое;„ђ“ѓЋ‰;A - acc sg plen n inan;;;е;о;г;у;р;д;A;„ђ“ѓЋ‰;A - acc sg plen n inan;
12819;29;место;Њ…‘’Ћ;S n inan acc sg;;;о;т;с;е;м;;S;Њ…‘’Ћ;S n inan acc sg;
12820;30;пространства;ЏђЋ‘’ђЂЌ‘’‚Ћ;S n inan gen sg;;;а;в;т;с;н;а;S;ЏђЋ‘’ђЂЌ‘’‚Ћ;S n inan gen sg;
12821;31;И;И;PUNC;;;;;;;;;PUNC;И;PUNC;
12822;32;.;.;SENT;;;;;;;;;SENT;.;SENT;
12823;;;;;;;;;;;;;;;;
12824;1;‘ергей;‘…ђѓ…‰;S m anim nom sg persn;;;й;е;г;р;е;с;S;‘…ђѓ…‰;S m anim nom sg;
12825;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC;
12826;3;€;€;CONJ;;;и;;;;;;CONJ;€;CONJ;
12827;4;вот;‚Ћ’;PART;;;т;о;в;;;;PART;‚Ћ’;PART;
12828;5;когда;ЉЋѓ„Ђ;CONJ;;;а;д;г;о;к;;CONJ;ЉЋѓ„Ђ;CONJ;
12829;6;стали;‘’Ђ’њ;V pf praet pl indic ;;;и;л;а;т;с;;S;‘’Ђ‹њ;S f inan loc sg;
12830;7;решать;ђ…Ђ’њ;V ipf - - inf - -;;;ь;т;а;ш;е;р;V;ђ…Ђ’њ;V ipf - - inf - -;
12831;8;это;ќ’Ћ’;APRO - acc sg plen n -;;;о;т;э;;;;A;ќ’Ћ’;A - acc sg plen n -;
12832;9;уравнение;“ђЂ‚Ќ…Ќ€…;S n inan acc sg;;;е;и;н;е;н;в;S;“ђЂ‚Ќ…Ќ€…;S n inan acc sg;
12833;10;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12834;11;оказалось;ЋЉЂ‡Ђ’њ‘џ;V pf praet sg indic n -;;;ь;с;о;л;а;з;V;ЋЉЂ‡Ђ’њ‘џ;V pf praet sg indic n -;
12835;12;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12836;13;что;—’Ћ;CONJ;;;о;т;ч;;;;CONJ;—’Ћ;CONJ;
12837;14;электроны;ќ‹…Љ’ђЋЌ;S m inan nom pl;;;ы;н;о;р;т;к;S;ќ‹…Љ’ђЋЌ;S m inan nom pl;
12838;15;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12839;16;вращающиесЯ;‚ђЂ™Ђ’њ‘џ;PARTCP ipf inpraes nom pl plen - act inan;;;Я;с;е;и;щ;ю;PARTCP;‚ђЂ™Ђ’њ‘џ;PARTCP ipf inpraes acc pl plen - act inan;
12840;17;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12841;18;грубо;ѓђ“ЃЋ;ADV -;;;о;б;у;р;г;;ADV;ѓђ“ЃЋ;ADV -;
12842;19;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12843;20;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12844;21;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX;
12845;22;=;=;PUNC;;;;;;;;;PUNC;=;PUNC;
12846;23;З;З;PUNC;;;;;;;;;PUNC;З;PUNC;
12847;24;грЯ;ѓЋ‚Ћђ€’њ;V ipf praes - ger - -;distort;;Я;р;г;;;;S;ѓђџ;S f inan nonflex nonflex;
12848;25;И;И;PUNC;;;;;;;;;PUNC;И;PUNC;
12849;26;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12850;27;говорЯ;ѓЋ‚Ћђ€’њ;V ipf praes - ger - -;;;Я;р;о;в;о;г;V;ѓЋ‚Ћђ€’њ;V ipf praes - ger - -;
12851;28;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12852;29;/;/;PUNC;;;;;;;;;PUNC;/;PUNC;
12853;30;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12854;31;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12855;32;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12856;33;вокруг;‚ЋЉђ“ѓ;PR;;;г;у;р;к;о;в;PR;‚ЋЉђ“ѓ;PR;
12857;34;Ядра;џ„ђЋ;S n inan gen sg;;;а;р;д;Я;;;S;џ„ђЋ;S n inan gen sg;
12858;35;Р;Р;PUNC;;;;;;;;;PUNC;Р;PUNC;
12859;36;это;ќ’Ћ;SPRO n - nom sg;;;о;т;э;;;;S;ќ’Ћ;S n - nom sg;
12860;37;возможно;‚Ћ‡ЊЋ†Ќ›‰;A - - sg brev n -;;;о;н;ж;о;м;з;A;‚Ћ‡ЊЋ†Ќ›‰;A - - sg brev n -;
12861;38;только;’Ћ‹њЉЋ;PART;;;о;к;ь;л;о;т;PART;’Ћ‹њЉЋ;PART;
12862;39;при;Џђ€;PR;;;и;р;п;;;;PR;Џђ€;PR;
12863;40;некоторых;Ќ…ЉЋ’Ћђ›‰;A - loc pl plen - -;;;х;ы;р;о;т;о;A;Ќ…ЉЋ’Ћђ›‰;A - loc pl plen - -;
12864;41;дискретных;„€‘Љђ…’Ќ›‰;A - loc pl plen - -;;;х;ы;н;т;е;р;A;„€‘Љђ…’Ќ›‰;A - loc pl plen - -;
12865;42;энергиЯх;ќЌ…ђѓ€џ;S f inan loc pl;;;х;Я;и;г;р;е;S;ќЌ…ђѓ€џ;S f inan loc pl;
12866;43;.;.;SENT;;;;;;;;;SENT;.;SENT;
12867;;;;;;;;;;;;;;;;
12868;1;€з;€‡;PR;;;з;и;;;;;PR;€‡;PR;
12869;2;уравнениЯ;“ђЂ‚Ќ…Ќ€…;S n inan gen sg;;;Я;и;н;е;н;в;S;“ђЂ‚Ќ…Ќ€…;S n inan gen sg;
12870;3;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12871;4;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12872;5;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX;
12873;6;=;=;PUNC;;;;;;;;;PUNC;=;PUNC;
12874;7;З;З;PUNC;;;;;;;;;PUNC;З;PUNC;
12875;8;прост;ЏђЋ‘’Ћ;ADV -;distort;;т;с;о;р;п;;A;ЏђЋ‘’Ћ‰;A - - sg brev m -;
12876;9;И;И;PUNC;;;;;;;;;PUNC;И;PUNC;
12877;10;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12878;11;просто;ЏђЋ‘’Ћ;ADV -;;;о;т;с;о;р;п;ADV;ЏђЋ‘’Ћ;ADV -;
12879;12;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12880;13;/;/;PUNC;;;;;;;;;PUNC;/;PUNC;
12881;14;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12882;15;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12883;16;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12884;17;получилось;ЏЋ‹“—€’њ‘џ;V pf praet sg indic n -;;;ь;с;о;л;и;ч;V;ЏЋ‹“—€’њ‘џ;V pf praet sg indic n -;
12885;18;.;.;SENT;;;;;;;;;SENT;.;SENT;
12886;;;;;;;;;;;;;;;;
12887;1;‘ергей;‘…ђѓ…‰;S m anim nom sg persn;;;й;е;г;р;е;с;S;‘…ђѓ…‰;S m anim nom sg;
12888;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC;
12889;3;€;€;CONJ;;;и;;;;;;CONJ;€;CONJ;
12890;4;есть;Ѓ›’њ;V ipf praes sg indic - 3p;;;ь;т;с;е;;;V;Ѓ›’њ;V ipf praes sg indic - 3p;
12891;5;э;ќ;INTJ;distrot;;э;;;;;;S;ќ;S - - nonflex nonflex;
12892;6;самое;‘ЂЊ›‰;A - nom sg plen n -;слитно;;е;о;м;а;с;;A;‘ЂЊ›‰;A - nom sg plen n -;
12893;7;нижнее;Ќ€†Ќ€‰;A - nom sg plen n supr;;;е;е;н;ж;и;н;A;Ќ€†Ќ€‰;A - acc sg plen n inan;
12894;8;состоЯние;‘Ћ‘’ЋџЌ€…;S n inan acc sg;;;е;и;н;Я;о;т;S;‘Ћ‘’ЋџЌ€…;S n inan acc sg;
12895;9;по;ЏЋ;PR;;;о;п;;;;;PR;ЏЋ;PR;
12896;10;энергии;ќЌ…ђѓ€џ;S f inan gen sg;;;и;и;г;р;е;н;S;ќЌ…ђѓ€џ;S f inan gen sg;
12897;11;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12898;12;которое;ЉЋ’Ћђ›‰;APRO - acc sg plen n -;;;е;о;р;о;т;о;A;ЉЋ’Ћђ›‰;A - nom sg plen n -;
12899;13;называют;ЌЂ‡›‚Ђ’њ;V ipf praes pl indic - 3p;;;т;ю;а;в;ы;з;V;ЌЂ‡›‚Ђ’њ;V ipf praes pl indic - 3p;
12900;14;основным;Ћ‘ЌЋ‚ЌЋ‰;A - ins sg plen m -;;;м;ы;н;в;о;н;A;Ћ‘ЌЋ‚ЌЋ‰;A - ins sg plen m -;
12901;15;.;.;SENT;;;;;;;;;SENT;.;SENT;
12902;;;;;;;;;;;;;;;;
12903;1;’огда;’Ћѓ„Ђ;ADV -;;;а;д;г;о;т;;ADV;’Ћѓ„Ђ;ADV -;
12904;2;ээ;ќќ;INTJ;distort;;э;э;;;;;NONLEX;ќќ;NONLEX;
12905;3;картинка;ЉЂђ’€ЌЉЂ;S f inan nom sg;;;а;к;н;и;т;р;S;ЉЂђ’€ЌЉЂ;S f inan nom sg;
12906;4;была;Ѓ›’њ;V ipf praet sg indic f -;;;а;л;ы;б;;;V;Ѓ›’њ;V ipf praet sg indic f -;
12907;5;такаЯ;’ЂЉЋ‰;APRO - nom sg plen f -;;;Я;а;к;а;т;;A;’ЂЉЋ‰;A - nom sg plen f -;
12908;6;:;:;PUNC;;;;;;;;;PUNC;:;PUNC;
12909;7;есть;Ѓ›’њ;V ipf praes sg indic - 3p;;;ь;т;с;е;;;V;Ѓ›’њ;V ipf praes sg indic - 3p;
12910;8;вот;‚Ћ’;PART;;;т;о;в;;;;PART;‚Ћ’;PART;
12911;9;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12912;10;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12913;11;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX;
12914;12;=;=;PUNC;;;;;;;;;PUNC;=;PUNC;
12915;13;З;З;PUNC;;;;;;;;;PUNC;З;PUNC;
12916;14;кагрица;ЉЂѓђ€–Ђ;NONLEX;;;а;ц;и;р;г;а;S;ЉЂѓђ€–Ђ;S f anim nom sg;
12917;15;И;И;PUNC;;;;;;;;;PUNC;И;PUNC;
12918;16;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12919;17;как;ЉЂЉ;CONJ;;;к;а;к;;;;CONJ;ЉЂЉ;CONJ;
12920;18;говоритсЯ;ѓЋ‚Ћђ€’њ‘џ;V ipf praes sg indic - 3p;;;Я;с;т;и;р;о;V;ѓЋ‚Ћђ€’њ‘џ;V ipf praes sg indic - 3p;
12921;19;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12922;20;/;/;PUNC;;;;;;;;;PUNC;/;PUNC;
12923;21;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12924;22;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12925;23;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12926;24;спектр;‘Џ…Љ’ђ;S m inan nom sg;;;р;т;к;е;п;с;S;‘Џ…Љ’ђ;S m inan acc sg;
12927;25;уровней;“ђЋ‚…Ќњ;S m inan gen pl;;;й;е;н;в;о;р;S;“ђЋ‚…Ќњ;S m inan gen pl;
12928;26;энергии;ќЌ…ђѓ€џ;S f inan gen sg;;;и;и;г;р;е;н;S;ќЌ…ђѓ€џ;S f inan gen sg;
12929;27;.;.;SENT;;;;;;;;;SENT;.;SENT;
12930;;;;;;;;;;;;;;;;
12931;1;…сли;…‘‹€;CONJ;;;и;л;с;е;;;CONJ;…‘‹€;CONJ;
12932;2;электрон;ќ‹…Љ’ђЋЌ;S m inan nom sg;;;н;о;р;т;к;е;S;ќ‹…Љ’ђЋЌ;S m inan nom sg;
12933;3;вращаетсЯ;‚ђЂ™Ђ’њ‘џ;V ipf praes sg indic - 3p;;;Я;с;т;е;а;щ;V;‚ђЂ™Ђ’њ‘џ;V ipf praes sg indic - 3p;
12934;4;по;ЏЋ;PR;;;о;п;;;;;PR;ЏЋ;PR;
12935;5;высокой;‚›‘ЋЉ€‰;A - loc sg plen f -;;;й;о;к;о;с;ы;A;‚›‘ЋЉ€‰;A - loc sg plen f -;
12936;6;орбите;ЋђЃ€’Ђ;S f inan loc sg;;;е;т;и;б;р;о;S;ЋђЃ€’Ђ;S f inan loc sg;
12937;7;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12938;8;он;ЋЌ;SPRO sg 3p m nom;;;н;о;;;;;SPRO;ЋЌ;SPRO sg 3p m nom;
12939;9;может;ЊЋ—њ;V ipf praes sg indic - 3p;;;т;е;ж;о;м;;V;ЊЋ—њ;V ipf praes sg indic - 3p;
12940;10;излучить;€‡‹“—€’њ;V pf - - inf - -;;;ь;т;и;ч;у;л;V;€‡‹“—€’њ;V pf - - inf - -;
12941;11;квант;Љ‚ЂЌ’;S m inan acc sg;;;т;н;а;в;к;;S;Љ‚ЂЌ’;S m inan nom sg;
12942;12;света;‘‚…’;S m inan gen sg;;;а;т;е;в;с;;S;‘‚…’;S m inan gen sg;
12943;13;и;€;CONJ;;;и;;;;;;CONJ;€;CONJ;
12944;14;спрыгнуть;‘Џђ›ѓЌ“’њ;V pf - - inf - -;;;ь;т;у;н;г;ы;V;‘Џђ›ѓЌ“’њ;V pf - - inf - -;
12945;15;в;‚;PR;;;в;;;;;;PR;‚;PR;
12946;16;основное;Ћ‘ЌЋ‚ЌЋ‰;A - acc sg plen n inan;;;е;о;н;в;о;н;A;Ћ‘ЌЋ‚ЌЋ‰;A - acc sg plen n inan;
12947;17;состоЯние;‘Ћ‘’ЋџЌ€…;S n inan acc sg;;;е;и;н;Я;о;т;S;‘Ћ‘’ЋџЌ€…;S n inan acc sg;
12948;18;.;.;SENT;;;;;;;;;SENT;.;SENT;
12949;;;;;;;;;;;;;;;;
12950;1;‘ергей;‘…ђѓ…‰;S m anim nom sg persn;;;й;е;г;р;е;с;S;‘…ђѓ…‰;S m anim nom sg;
12951;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC;
12952;3;Ђ;Ђ;CONJ;;;а;;;;;;CONJ;Ђ;CONJ;
12953;4;дальше;„Ђ‹…ЉЋ;ADV comp;;;е;ш;ь;л;а;д;ADV;„Ђ‹…ЉЋ;ADV comp;
12954;5;прыгать;Џђ›ѓЂ’њ;V ipf - - inf - -;;;ь;т;а;г;ы;р;V;Џђ›ѓЂ’њ;V ipf - - inf - -;
12955;6;некуда;Ќ…Љ“„Ђ;PRAEDICPRO;;;а;д;у;к;е;н;ADV;Ќ…Љ“„Ђ;ADV -;
12956;7;.;.;SENT;;;;;;;;;SENT;.;SENT;
12957;;;;;;;;;;;;;;;;
12958;1;ЋпускатьсЯ;ЋЏ“‘ЉЂ’њ‘џ;V ipf - - inf - -;;;Я;с;ь;т;а;к;V;ЋЏ“‘ЉЂ’њ‘џ;V ipf - - inf - -;
12959;2;вниз;‚Ќ€‡;ADV -;;;з;и;н;в;;;ADV;‚Ќ€‡;ADV -;
12960;3;уже;“†…;ADV -;;;е;ж;у;;;;ADV;“†…;ADV -;
12961;4;невозможно;Ќ…‚Ћ‡ЊЋ†ЌЋ;PRAEDIC;;;о;н;ж;о;м;з;ADV;Ќ…‚Ћ‡ЊЋ†ЌЋ;ADV -;
12962;5;.;.;SENT;;;;;;;;;SENT;.;SENT;
12963;;;;;;;;;;;;;;;;
12964;1;€;€;CONJ;;;и;;;;;;CONJ;€;CONJ;
12965;2;он;ЋЌ;SPRO sg 3p m nom;;;н;о;;;;;SPRO;ЋЌ;SPRO sg 3p m nom;
12966;3;остаетсЯ;Ћ‘’Ђ‚Ђ’њ‘џ;V ipf praes sg indic - 3p;;;Я;с;т;е;а;т;V;Ћ‘’Ђ‚Ђ’њ‘џ;V ipf praes sg indic - 3p;
12967;4;стабильно;‘’ЂЃ€‹њЌЋ;ADV -;;;о;н;ь;л;и;б;ADV;‘’ЂЃ€‹њЌЋ;ADV -;
12968;5;ээ;ќќ;INTJ;distort;;э;э;;;;;NONLEX;ќќ;NONLEX;
12969;6;вот;‚Ћ’;INTJ;;;т;о;в;;;;PART;‚Ћ’;PART;
12970;7;в;‚;PR;;;в;;;;;;PR;‚;PR;
12971;8;этом;ќ’Ћ’;APRO - loc sg plen m -;;;м;о;т;э;;;A;ќ’Ћ’;A - loc sg plen m -;
12972;9;нижнем;Ќ€†Ќ€‰;A - loc sg plen m -;;;м;е;н;ж;и;н;A;Ќ€†Ќ€‰;A - loc sg plen m -;
12973;10;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12974;11;основном;Ћ‘ЌЋ‚ЌЋ‰;A - loc sg plen n -;;;м;о;н;в;о;н;A;Ћ‘ЌЋ‚Ќ›‰;A - loc sg plen n -;
12975;12;состоЯнии;‘Ћ‘’ЋџЌ€…;S n inan loc sg;;;и;и;н;Я;о;т;S;‘Ћ‘’ЋџЌ€…;S n inan loc sg;
12976;13;.;.;SENT;;;;;;;;;SENT;.;SENT;
